cgpa,attendance,backlogs,study_hours,family_income,extracurricular,internships,coding_skill,communication_skill,projects,certifications,financial_stress,lms_engagement,mentor_sessions,dropout,placed,salary_lpa
7.4,81.5,0,3.0,3,6.5,1,4.6,5.5,1,3,3.4,100.0,0,0,1,7.97
5.65,90.5,0,5.1,1,3.8,1,4.8,3.5,0,1,7.2,72.4,2,1,1,5.51
7.98,81.8,0,4.2,3,6.1,3,7.7,5.0,0,1,4.0,54.4,0,0,1,12.18
8.22,100.0,0,1.3,3,5.3,1,6.0,8.0,1,0,3.0,79.2,0,0,1,9.14
4.46,98.0,1,5.4,2,5.1,0,4.3,8.2,0,0,7.3,89.4,1,0,1,6.86
5.31,73.7,1,5.2,4,4.0,1,2.1,4.7,2,1,2.4,84.2,1,0,1,5.92
7.17,73.5,0,3.9,1,7.5,0,9.0,6.8,0,2,5.0,56.1,1,1,1,10.57
6.59,84.6,0,3.6,1,6.3,1,4.0,2.8,2,2,6.3,53.3,0,1,1,7.13
6.98,66.3,2,5.9,3,6.0,1,5.2,5.2,3,1,7.0,75.9,1,1,0,7.98
5.89,94.3,3,0.6,2,10.0,1,10.0,6.3,1,1,4.6,55.3,3,1,1,7.69
8.14,83.1,0,5.2,2,6.5,0,4.1,8.9,1,1,3.0,84.0,0,1,1,8.74
8.01,81.6,0,2.4,1,8.1,1,4.9,8.2,1,2,7.3,62.2,1,0,1,10.64
7.09,87.6,0,5.0,1,6.1,0,6.0,6.2,3,2,5.2,75.9,1,1,1,9.58
8.47,100.0,0,3.4,1,4.7,2,1.8,4.0,2,1,7.3,80.8,0,0,1,7.3
7.61,80.4,0,1.2,1,3.2,0,1.5,8.5,1,0,1.3,34.0,3,1,1,7.13
5.88,76.4,0,2.4,4,6.0,0,4.4,5.1,1,0,3.1,62.9,5,1,1,4.65
7.48,99.1,0,4.8,1,0.0,1,4.5,6.7,0,0,5.4,83.0,0,0,1,6.28
5.75,91.5,2,2.9,3,6.1,1,5.8,5.6,2,0,1.8,43.9,0,0,1,6.62
8.14,73.5,0,2.2,1,6.2,0,3.3,9.8,2,0,3.2,49.0,0,1,1,7.07
6.94,78.1,3,2.2,2,5.0,1,6.5,4.6,1,1,4.4,84.0,0,1,1,8.72
6.76,80.7,2,4.2,4,5.3,1,0.5,7.6,4,2,0.5,90.6,0,0,1,8.15
6.11,83.1,1,6.0,1,2.7,1,5.3,5.6,2,1,0.0,0.0,0,0,1,7.2
8.59,59.0,0,0.0,1,8.5,2,6.3,6.9,3,2,3.3,84.0,0,1,1,12.64
6.8,56.4,1,7.7,3,4.8,1,6.3,9.0,5,0,1.2,13.5,1,1,1,9.18
6.44,65.6,0,3.5,1,3.4,0,5.1,1.8,3,0,6.1,58.7,3,1,1,7.66
6.54,64.5,0,4.1,1,6.7,1,4.0,5.7,4,1,3.3,32.3,0,1,1,7.52
7.69,69.0,0,2.5,4,5.7,0,5.1,4.0,0,1,3.0,49.0,2,1,0,6.84
7.48,86.9,0,3.2,2,4.7,0,8.3,6.7,3,1,2.8,62.1,3,0,1,9.6
7.54,75.6,2,3.5,3,4.5,0,4.1,7.2,4,0,5.8,70.6,1,0,1,8.86
7.56,80.7,0,1.5,1,5.5,0,7.7,4.9,0,1,6.9,88.6,0,1,1,7.84
9.78,60.9,0,1.9,1,8.5,0,8.1,4.8,3,1,5.3,33.1,0,1,1,8.47
6.47,71.5,0,5.1,2,6.5,0,1.5,6.2,3,2,5.3,83.1,0,0,1,7.1
6.33,86.2,5,0.7,3,5.4,1,5.2,3.3,3,0,5.3,54.4,1,1,1,7.29
5.94,86.3,1,3.9,1,7.4,1,3.3,6.5,0,0,6.1,54.9,3,0,1,7.92
7.8,67.9,0,2.6,3,5.6,0,2.0,4.2,0,0,4.3,94.0,3,0,1,3.98
8.47,80.3,0,1.7,3,6.4,0,7.3,7.3,5,1,0.0,76.8,1,0,1,10.13
6.85,100.0,1,6.4,2,5.8,0,6.6,3.2,4,0,3.8,26.4,0,0,1,6.02
5.91,77.8,2,1.7,2,6.8,1,6.1,4.7,3,2,3.2,58.4,1,1,1,8.33
5.93,68.3,1,1.4,2,4.5,0,3.0,4.3,2,2,7.4,45.0,2,1,0,6.02
7.85,75.6,0,2.9,3,3.0,0,6.0,5.2,2,0,3.1,51.3,1,0,1,9.44
7.97,79.3,0,2.0,1,7.5,1,2.5,8.6,1,1,4.4,57.4,0,0,1,8.29
7.71,75.9,0,3.2,3,8.8,0,5.7,7.5,2,0,5.3,69.3,0,0,1,7.59
6.13,77.6,1,3.4,2,3.1,0,4.0,4.8,2,2,1.5,34.9,0,1,1,6.64
7.3,57.8,0,3.6,4,5.9,2,7.9,4.8,2,1,2.8,55.6,0,1,1,10.96
7.15,64.5,0,3.0,4,4.5,0,4.7,7.6,1,0,0.0,52.1,1,0,1,5.2
7.28,75.9,1,2.1,1,7.4,0,6.0,3.5,1,1,4.3,67.7,2,0,1,7.8
8.13,75.7,0,4.2,2,6.0,1,6.0,5.8,1,1,3.9,58.9,1,0,1,8.02
7.29,70.1,0,3.0,2,10.0,2,5.3,4.6,3,0,8.4,78.8,2,0,1,8.39
7.88,75.5,0,2.4,2,4.8,1,5.7,5.5,0,0,4.7,65.2,1,1,1,7.93
7.09,78.9,0,5.6,3,8.9,0,6.2,7.4,2,0,2.0,72.1,1,0,1,6.34
7.38,90.5,0,3.0,1,9.1,0,3.4,4.5,1,1,5.7,64.7,2,1,1,4.71
7.82,76.6,0,4.9,2,6.7,0,6.4,7.7,2,1,8.3,37.0,0,1,1,9.54
5.11,83.6,0,5.2,4,5.6,0,7.5,10.0,0,0,0.0,52.5,0,0,1,6.91
6.58,70.4,1,5.3,4,5.7,1,6.4,7.0,2,0,4.8,46.6,2,0,1,8.35
6.39,86.0,0,4.3,1,5.5,1,4.7,5.6,4,0,6.9,75.2,0,1,1,8.13
6.17,83.3,2,3.2,4,8.0,0,5.9,8.1,4,0,2.7,77.0,0,0,1,6.75
6.64,90.1,2,3.1,1,3.6,0,4.7,3.6,0,0,5.3,58.4,2,1,1,4.93
8.94,88.0,0,2.8,2,5.1,1,5.2,8.8,2,0,8.3,62.9,2,0,1,8.57
5.87,86.2,0,0.0,1,4.9,0,2.8,4.3,1,1,7.7,28.4,2,1,1,2.67
8.26,76.6,0,4.4,2,1.7,1,8.7,10.0,1,0,2.6,52.2,2,0,1,10.34
4.81,81.4,3,3.6,1,7.4,0,10.0,4.4,2,1,6.1,10.0,0,1,0,7.79
6.56,92.9,1,4.5,1,7.8,1,3.9,7.1,0,2,8.9,76.2,1,1,1,7.76
7.21,68.9,0,3.0,2,4.1,2,7.3,2.7,2,0,6.2,100.0,3,0,1,9.28
7.76,69.2,1,4.3,4,7.8,0,8.9,5.4,1,3,3.6,49.3,1,0,1,7.63
7.92,80.5,1,1.0,2,2.0,1,3.3,3.6,0,2,2.0,64.6,3,1,1,5.16
8.03,83.8,0,1.3,3,5.6,0,0.5,2.9,3,1,9.3,68.3,3,1,1,5.12
6.55,66.5,1,0.0,3,5.2,1,9.0,8.2,1,1,5.7,37.3,0,1,0,9.87
6.4,77.0,1,3.0,2,5.7,1,5.5,3.3,2,1,9.1,57.4,1,0,1,6.84
8.12,76.7,0,2.0,1,5.7,0,4.3,4.3,1,2,6.7,69.4,2,1,1,6.5
6.75,47.0,1,1.8,1,5.3,0,5.6,4.1,1,0,6.0,63.4,0,1,1,8.06
5.34,74.9,0,3.7,2,4.6,0,4.7,8.1,1,1,3.5,61.2,0,1,1,7.11
5.53,75.8,2,2.5,4,5.3,2,10.0,7.8,2,0,5.2,54.1,4,1,1,10.91
5.8,75.8,2,0.9,1,8.5,1,4.3,8.3,2,2,9.4,43.7,0,1,1,8.21
7.65,97.8,0,7.3,3,4.2,1,6.3,4.2,4,1,6.4,73.5,1,0,1,7.98
7.19,61.0,0,3.1,3,10.0,0,8.5,8.5,3,0,9.2,95.2,0,0,1,10.34
7.9,66.5,0,1.5,4,4.1,0,8.5,4.2,2,2,3.3,19.9,1,1,1,12.04
6.44,41.4,3,2.1,1,6.0,0,8.0,4.3,4,0,4.6,16.9,0,1,1,9.06
7.21,71.3,1,2.9,4,6.8,1,4.5,4.4,2,1,3.6,35.7,1,0,1,7.56
7.81,72.5,0,2.9,2,4.9,0,5.2,4.5,2,0,6.8,51.2,2,1,1,5.69
6.6,70.9,1,5.3,2,8.5,0,0.5,5.6,1,0,4.4,54.8,2,0,1,3.85
7.59,93.5,0,3.1,3,6.7,0,5.3,4.1,2,1,3.9,62.5,0,0,1,8.28
6.14,90.0,2,6.2,1,5.0,1,5.6,6.3,1,0,6.5,61.4,0,1,1,8.06
6.53,79.1,2,2.5,3,8.5,0,7.2,0.6,1,2,5.1,57.2,2,1,0,5.82
6.5,72.8,1,3.9,2,3.3,2,9.6,6.3,1,0,5.3,85.4,1,1,1,10.43
5.45,92.4,0,4.8,3,4.3,0,7.1,3.6,2,1,4.5,41.5,1,1,1,5.93
7.63,77.7,0,5.1,3,6.7,1,8.0,4.5,1,0,5.5,78.1,0,0,1,9.76
6.39,66.5,0,5.3,2,7.3,0,5.5,4.5,1,1,6.8,99.7,0,0,1,7.35
7.02,54.0,0,2.8,1,6.2,0,8.5,7.7,1,0,4.9,30.6,2,1,1,9.75
7.62,71.8,1,3.2,1,5.2,0,5.5,6.8,2,2,1.8,21.0,0,1,1,7.86
7.58,88.6,0,0.0,3,4.9,2,8.1,5.5,0,0,1.6,63.7,1,1,1,10.2
7.87,100.0,0,2.9,2,8.0,2,7.4,4.4,1,1,6.1,72.9,1,0,1,9.69
6.87,78.9,0,4.9,3,6.0,2,6.4,7.4,0,0,2.3,60.7,3,0,1,9.1
6.45,67.3,0,4.6,2,3.6,0,2.0,9.4,1,1,5.6,17.5,0,1,1,6.29
6.9,61.4,0,3.1,2,3.5,1,8.0,5.7,3,4,4.9,26.3,1,1,1,9.33
4.81,85.7,2,5.9,3,8.8,0,6.4,2.6,2,1,4.2,49.8,2,1,0,6.47
5.12,53.3,1,2.6,3,3.9,0,7.1,4.4,3,1,5.1,68.3,1,1,1,7.76
5.28,85.7,1,2.1,2,6.1,1,6.2,6.9,3,1,7.7,52.9,2,1,1,6.91
5.7,89.4,1,2.5,1,8.5,2,6.6,4.9,0,0,6.0,64.3,1,1,1,8.25
7.52,84.1,0,1.4,3,6.7,1,8.5,4.1,4,3,1.6,63.7,1,1,1,11.11
5.82,74.9,1,4.2,3,3.8,0,4.4,4.0,0,1,4.7,78.6,1,1,0,4.79
6.51,85.9,3,3.7,2,3.3,0,6.6,6.0,4,0,6.6,36.8,0,1,1,8.45
8.69,80.4,0,4.2,2,9.6,0,3.7,2.7,3,0,0.0,61.8,1,0,1,6.53
6.54,67.1,4,2.5,1,3.2,2,6.8,5.7,2,1,4.3,88.8,1,1,1,9.83
7.96,100.0,2,3.1,2,4.3,1,6.1,6.0,3,0,5.1,44.2,1,0,1,8.12
5.79,73.1,1,0.0,1,6.3,0,4.0,4.9,1,1,4.9,47.5,1,1,1,7.29
6.73,88.9,0,3.8,1,5.0,0,5.7,3.7,0,2,6.3,61.7,1,1,1,8.17
5.76,44.1,0,3.4,3,6.8,1,4.2,7.8,0,2,2.6,38.9,0,0,1,7.97
6.56,95.9,3,1.4,2,2.3,1,4.6,3.1,1,1,7.2,36.7,1,1,1,8.95
8.09,98.6,0,3.0,3,5.0,1,6.3,6.1,4,1,4.1,53.1,2,0,1,11.43
4.75,78.4,0,2.8,2,7.0,0,6.1,7.3,5,1,0.9,55.1,1,0,0,8.84
7.56,85.8,2,6.0,1,7.0,1,1.1,6.1,1,2,7.7,75.0,1,1,1,8.43
7.31,85.8,1,1.5,2,4.2,0,6.4,8.3,1,1,6.8,42.1,2,1,1,8.18
6.23,69.0,2,3.7,1,3.3,0,4.8,3.5,1,0,5.9,60.6,3,1,1,5.26
5.12,85.7,0,1.5,3,6.0,1,4.5,4.2,1,3,0.0,84.7,1,1,1,7.77
7.09,66.7,2,2.3,4,2.6,1,2.9,4.9,4,1,5.1,83.5,2,0,1,7.5
6.31,69.5,1,3.6,3,8.3,1,5.4,10.0,2,1,1.6,57.8,2,1,1,9.68
7.3,93.8,0,2.9,3,5.8,0,4.3,6.8,1,0,3.2,63.8,4,0,1,6.06
7.03,91.6,0,3.2,3,4.0,1,8.4,7.2,3,0,2.7,41.9,0,0,1,9.09
9.08,68.1,0,3.7,3,3.2,1,1.5,7.1,5,1,0.7,65.8,3,0,1,7.26
6.69,67.7,1,2.4,2,4.1,1,3.3,6.0,0,1,5.0,90.6,0,1,1,5.35
5.67,69.0,0,4.6,3,2.1,0,3.1,7.9,1,4,4.5,86.0,0,1,1,7.11
7.23,88.3,0,2.7,2,6.6,0,6.1,2.1,3,0,5.3,59.6,0,0,1,5.72
7.29,64.0,0,3.0,1,3.7,0,8.2,6.4,1,3,5.5,66.9,0,1,1,8.11
8.77,83.0,0,3.8,3,6.4,0,6.7,6.7,6,1,2.3,45.3,0,0,1,9.54
8.09,88.5,0,3.6,3,6.7,1,3.0,7.8,1,1,7.4,41.4,0,1,1,7.44
7.46,76.8,0,4.2,1,7.6,0,4.5,3.5,0,1,6.4,52.7,1,1,1,6.47
8.9,92.1,0,3.7,4,6.1,0,3.6,3.6,0,0,0.8,65.4,1,0,1,8.73
5.45,73.7,3,4.0,1,8.0,1,6.7,3.8,2,0,7.0,74.4,1,1,1,8.1
6.17,75.0,3,2.7,3,8.5,1,4.5,6.8,1,1,4.8,58.4,1,0,1,6.61
5.8,64.3,1,1.5,4,6.1,1,2.3,6.9,1,2,4.4,68.8,1,1,1,6.41
6.49,92.2,1,0.9,2,6.2,1,6.8,3.9,0,0,4.9,9.0,0,1,0,6.71
5.21,67.3,1,0.5,4,4.3,0,8.4,9.6,2,0,1.6,63.4,0,0,1,9.32
7.83,82.9,0,6.0,3,3.3,2,5.1,6.4,3,0,0.9,47.6,0,0,1,9.96
6.71,77.0,1,0.0,3,8.3,0,5.8,6.0,0,2,2.8,35.0,0,1,1,6.66
5.09,63.3,0,5.1,4,6.8,1,2.0,5.4,1,2,0.0,69.1,1,1,0,6.03
5.68,69.5,0,1.9,3,7.0,1,0.8,7.7,1,1,4.7,88.9,1,1,1,6.1
7.41,97.4,0,5.1,2,4.2,0,1.2,6.6,1,0,1.3,59.7,2,0,1,5.7
8.09,80.8,0,0.0,3,9.1,0,5.4,9.6,4,1,3.2,77.6,0,0,1,9.94
9.6,63.9,0,2.8,2,5.0,0,4.8,3.4,1,0,6.7,51.6,2,0,1,8.33
10.0,82.3,0,5.5,2,3.7,0,6.8,2.7,1,0,4.4,100.0,2,0,1,10.95
7.54,76.0,1,4.3,1,4.2,0,5.0,4.3,2,0,5.9,28.5,1,1,1,8.47
5.71,100.0,2,2.7,2,9.0,1,7.8,6.9,3,1,6.0,58.0,2,1,1,7.96
4.23,82.0,2,0.1,3,3.1,1,7.5,4.9,1,0,5.2,75.0,3,1,1,7.12
7.35,72.7,1,1.1,4,3.8,1,4.8,8.3,3,1,5.4,59.4,1,1,1,11.27
5.94,97.9,1,5.4,4,10.0,1,3.2,5.0,1,1,4.3,87.5,1,0,1,6.64
6.46,52.2,0,2.6,1,7.6,2,1.1,8.0,1,1,6.8,18.5,0,1,1,8.91
6.2,79.3,2,3.1,2,3.9,0,8.8,4.1,3,1,0.5,57.8,2,1,1,11.39
6.82,100.0,0,3.7,2,3.1,0,3.3,8.2,4,1,5.6,55.0,0,1,0,6.64
8.39,76.4,0,1.1,1,1.8,1,2.1,8.5,2,2,9.8,57.8,2,1,1,8.28
7.2,53.7,1,3.9,2,5.7,2,5.8,4.7,3,1,6.5,28.3,0,1,1,9.29
6.79,72.5,1,2.5,2,7.1,0,2.1,6.8,1,0,7.2,54.2,2,0,1,4.26
5.65,98.4,2,3.7,4,8.8,0,5.8,6.3,1,1,1.4,53.2,4,0,1,8.32
